,시도,구,동,연체미납03월,연체미납07월,65세 이상 인구수,기초생활수급자인구수,장애인구,사회복지시설,독거노인
26,울산광역시,북구,효문동,3955,4175,2770,733,1213,21,540.15
35,울산광역시,동구,화정동,0,0,2778,989,1228,8,541.71
5,울산광역시,중구,학성동,1547,1611,2773,693,1179,9,540.735
2,울산광역시,중구,태화동,3939,4158,4263,1206,1248,17,831.285
19,울산광역시,울주군,청량면,1600,1762,3006,135,799,8,586.17
1,울산광역시,중구,중앙동,4794,5084,3465,866,767,19,675.675
34,울산광역시,동구,전하2동,1505,1665,2483,560,498,9,484.185
38,울산광역시,동구,전하1동,2313,2453,2306,611,326,4,449.67
39,울산광역시,동구,일산동,1368,1441,1210,1292,997,4,235.95
17,울산광역시,울주군,웅촌면,647,702,2262,218,489,12,441.09
4,울산광역시,중구,우정동,1583,1668,3503,875,1270,10,683.085
15,울산광역시,울주군,온양읍,3580,3834,3724,703,1475,21,726.18
18,울산광역시,울주군,온산읍,6664,7250,2802,183,435,11,546.39
42,울산광역시,남구,옥동,1861,1969,2945,240,1079,34,574.275
32,울산광역시,북구,염포동,1323,1385,1459,1139,883,3,284.505
14,울산광역시,울주군,언양읍,2938,3040,4590,434,294,33,895.05
31,울산광역시,북구,양정동,1071,1122,1032,176,654,5,201.24
12,울산광역시,중구,약사동,621,694,948,403,970,2,184.86
53,울산광역시,남구,야음장생포동,1892,2006,2325,131,404,3,453.375
54,울산광역시,남구,신정5동,1947,2133,1367,192,680,3,266.565
49,울산광역시,남구,신정4동,1826,1906,2705,246,1067,7,527.475
50,울산광역시,남구,신정3동,2008,2248,2623,286,499,7,511.485
46,울산광역시,남구,신정2동,2116,2246,2849,1298,1683,9,555.555
44,울산광역시,남구,신정1동,2569,2642,3969,597,1284,14,773.955
55,울산광역시,남구,수암동,759,878,1916,468,1332,0,373.62
29,울산광역시,북구,송정동,2500,2757,2634,187,519,9,513.63
0,울산광역시,중구,성안동,0,0,2417,436,915,25,471.315
51,울산광역시,남구,선암동,1433,1424,2114,681,1466,6,412.23
22,울산광역시,울주군,서생면,1334,1444,2157,298,775,3,420.615
20,울산광역시,울주군,상북면,595,583,2483,273,415,8,484.185
47,울산광역시,남구,삼호동,2935,3074,3100,1025,1475,9,604.5
52,울산광역시,남구,삼산동,5440,5830,4725,192,558,4,921.375
24,울산광역시,울주군,삼동면,0,0,740,177,770,2,144.3
16,울산광역시,울주군,삼남면,4191,4347,3943,498,724,19,768.885
10,울산광역시,중구,복산2동,879,933,1618,205,832,6,315.51
11,울산광역시,중구,복산1동,641,688,999,188,649,3,194.805
9,울산광역시,중구,병영2동,1811,1946,2800,211,360,6,546
3,울산광역시,중구,병영1동,2057,2286,3545,339,760,10,691.275
13,울산광역시,울주군,범서읍,5004,5187,6815,199,818,38,1328.925
33,울산광역시,동구,방어동,8312,8772,5217,929,1153,24,1017.315
6,울산광역시,중구,반구2동,1208,1330,1788,214,909,9,348.66
8,울산광역시,중구,반구1동,2390,2542,2554,592,1315,7,498.03
45,울산광역시,남구,무거동,5060,5224,3332,127,762,10,649.74
21,울산광역시,울주군,두서면,0,0,1368,648,975,6,266.76
23,울산광역시,울주군,두동면,0,0,1434,92,549,2,279.63
48,울산광역시,남구,대현동,1359,1464,3549,171,525,8,692.055
37,울산광역시,동구,대송동,4075,4374,1451,844,2486,5,282.945
43,울산광역시,남구,달동,8770,9329,3911,250,854,24,762.645
7,울산광역시,중구,다운동,1926,2142,4389,665,1050,7,855.855
28,울산광역시,북구,농소3동,2586,2679,3002,259,670,11,585.39
27,울산광역시,북구,농소2동,3341,3572,3274,473,1003,13,638.43
25,울산광역시,북구,농소1동,3986,4398,3662,656,1637,23,714.09
40,울산광역시,동구,남목3동,1505,1773,1780,1238,1824,3,347.1
36,울산광역시,동구,남목2동,2296,2446,2625,905,540,7,511.875
41,울산광역시,동구,남목1동,0,0,1567,94,900,2,305.565
30,울산광역시,북구,강동동,1584,1742,1895,37,181,7,369.525
